channel	video_id	title
Alien Jon	hRw8RbvNbVk	Class Notes: Archers, Tracers, & Snakes Oh My! Raleigh, NC 3-7-2015
Alien Jon	b2jfCjPdSEc	Contact Staff - PoV test - GoPro Hero3+ 120fps
Alien Jon	Dq5lZtz1hVc	Class Notes: Taking it to the Next Level Day 2, Part 2 Toronto 05-24-2014
Alien Jon	UB6cP3mSAek	Class Notes: Taking it to the Next Level Day 2, Part 1 Toronto 05-24-2014
Alien Jon	oNT4J4A6ksg	Class Notes: Poi Foundations - Day 1, Part 2 - Toronto 05-23-2014
Alien Jon	id_-3StQnv0	Class Notes: Poi Foundations - Day 1, Part 1 - Toronto 05-23-2014
Alien Jon	PhRWDeATyd0	Alien Jon Poi: nano-Tech Blog 15: Straight Jacket Roll & other random overdue ideas
Alien Jon	vV08oAZc9MU	Female Character Test - 4-Petal Isolated Antispin (3rd order flower)
Alien Jon	PTVGRwTVeAw	4 Prop types - Arm 4 T&D - Props 4 T&D
Alien Jon	VzSHoX-T-jU	VTG 1:3 - 64 patterns
Alien Jon	cQe534sA5Mw	Poi Cookie Rig - hello world test - 4-petal Isolated Antispin (3rd order flower)
Alien Jon	MBDmtD8FBf4	Alien Jon Poi: nano-Tech Blog 14: Vertical Body Tracing with Flowers
Alien Jon	AlSlIIx6OfU	Introducing FiberFlies - Luminous Optical Fiber Whips
Alien Jon	n-LUe4VQQu0	Poi How to: recordings from Lake Worth & Miami workshops - April 2012
Alien Jon	hCwe89eZd7U	Class Notes: Intermediate to Advanced Poi topics - Part 2 - Lake Worth, FL 04-11-2012
Alien Jon	rqDzykGFHV8	Class Notes: Intermediate to Advanced Poi topics - Part 1 - Lake Worth, FL 04-11-2012
Alien Jon	XOV1t1o33L8	Alien Jon Poi: nano-Tech Blog review: Spherecamp Texas 2009
Alien Jon	eJiVfAh8txM	Alien Jon Poi (w/ Thom Thumb): nano-Tech Blog 13: more Partner Poi Passing (with Hat)
Alien Jon	pH-CFzJMNNY	Kinetic Fire 2011 promo - Alien Jon and Nicky Evers
Alien Jon	8idKs9oFtsM	Class Notes: Poi Fundamentals & Body Mechanics - Part 2 - Dallas 03-26-2011
Alien Jon	-nuUO3aPgFk	Class Notes: Poi Fundamentals & Body Mechanics - Part 1 - Dallas 03-26-2011
Alien Jon	Z7FGPcKjVZ0	Class Notes: Stall Chasers, Body Tracing & Snakes - Part 2 - Dallas 03-26-2011
Alien Jon	Tk3STSN06Vg	Class Notes: Stall Chasers, Body Tracing & Snakes - Part 1 - Dallas 03-26-2011
Alien Jon	W2VUXCvkOxo	Alien Jon Poi: nano-Tech Blog  12: (not)1.5 & stall combos into split-same
Alien Jon	ze2tEfHwkcw	Alien Jon Fire Poi: 2010 Playpoi retreats in Bali & Swizterland
Alien Jon	XjLhfJb9QZw	Alien Jon Poi: nano-Tech Blog 11: some stall chaser variants
Alien Jon	7D1SDuEC1BA	Class Notes: Poi Foundation Concepts - Part 2 - Boulder Circus Center FlowShop 11-20-2010
Alien Jon	QCyFfcSltn8	Class Notes: Poi Foundation Concepts - Part 1 - Boulder Circus Center FlowShop 11-20-2010
Alien Jon	jf3GX29bmrw	Alien Jon Poi: nano-Tech Blog 10: North Boulder Park 2010
Alien Jon	Ziu52YrfAQk	Magic Gravity Squirrel
Alien Jon	HEnysHqFYCo	Playing with Fire in Poland
Alien Jon	sdMIL_mN5b0	Alien Jon Poi: nano-Tech Blog 9: Thom Thumb & I play more 3-poi passing
Alien Jon	_Y9HvBdy2o0	Alien Jon Poi: nano-Tech collab: Yuta & Jon at the Flow Space
Alien Jon	kyltlgByg8c	Alien Jon Poi: nano-Tech Blog 8:  Pulse weaves, linear extension weaves, & ellipse fountain
Alien Jon	nJpwm_UEldY	Class Notes: Poi Workshops with Alien Jon - Part 2 - Santa Fe, NM 07-07-2010
Alien Jon	rWgt3xLOGh8	Class Notes: Poi Workshops with Alien Jon - Part 1 - Santa Fe, NM 07-07-2010
Alien Jon	OE2uhfRbhlc	Alien Jon at Fire Drums 2010
Alien Jon	wfd_JuWOx0s	Alien Jon Poi: nano-Tech Blog 7: Thom Thumb & I play some 3-poi passing
Alien Jon	w0vuiG3HSfM	Alien Jon Poi: nano-Tech Blog 6: Antispin Weave Fountain
Alien Jon	C_Mbmq3jFNg	Poi Tutorial: Crosser Extensions and variations
Alien Jon	jqkpHHNCy38	Poi Tutorial: How Alien Jon grips his poi
Alien Jon	MQWNyVzWKHk	Class Notes: Poi-Fu Workshop - 02-11-2010 - Hosted by Fire Groove
Alien Jon	WHX1kO0TC10	Class Notes: Partner Poi Workshop -  02-11-2010 - Hosted by Fire Groove
Alien Jon	EHY7NUjyRPc	Class Notes: Flow Temple Class, Poi-2, week #3 - 01-31-2010
Alien Jon	3tu2jW8u3dA	Class Notes: Flow Temple Class, Poi-2, week #2 - 01-17-2010
